1,VDD0,1,,,,,
2,N/C,,,,,,
3,VSS0,2,,,,,
4,N/C,,,,,,
5,AC_IN[11],3,,,,,
6,N/C,,,,,,
7,N/C,,,,,,
8,AC_IN[10],4,,,,,
9,N/C,,,,,,
10,N/C,,,,,,
11,N/C,,,,,,
12,AC_IN[9],5,,,,,
13,N/C,,,,,,
14,N/C,,,,,,
15,N/C,,,,,,
16,AC_IN[8],6,,,,,
17,N/C,,,,,,
18,N/C,,,,,,
19,N/C,,,,,,
20,N/C,,,,,,
21,AC_IN[7],7,,,,,
22,N/C,,,,,,
23,N/C,,,,,,
24,N/C,,,,,,
25,AC_IN[6],8,,,,,
26,N/C,,,,,,
27,N/C,,,,,,
28,N/C,,,,,,
29,AC_IN[5],9,,,,,
30,N/C,,,,,,
31,N/C,,,,,,
32,N/C,,,,,,
33,N/C,,,,,,
34,AC_IN[4],10,,,,,
35,N/C,,,,,,
36,N/C,,,,,,
37,N/C,,,,,,
38,VDD,11,,,,,
39,N/C,,,,,,
40,N/C,,,,,,
41,N/C,,,,,,
42,VSS,12,,,,,
43,N/C,,,,,,
44,N/C,,,,,,
45,N/C,,,,,,
46,N/C,,,,,,
47,AC_IN[3],13,,,,,
48,N/C,,,,,,
49,N/C,,,,,,
50,N/C,,,,,,
51,AC_IN[2],14,,,,,
52,N/C,,,,,,
53,N/C,,,,,,
54,N/C,,,,,,
55,AC_IN[1],15,,,,,
56,N/C,,,,,,
57,N/C,,,,,,
58,N/C,,,,,,
59,N/C,,,,,,
60,AC_IN[0],16,,,,,
61,N/C,,,,,,
62,N/C,,,,,,
63,N/C,,,,,,
64,,17,,,,,
65,N/C,,,,,,
66,N/C,,,,,,
67,N/C,,,,,,
68,AC_OUT[11],18,,,,,
69,N/C,,,,,,
70,N/C,,,,,,
71,N/C,,,,,,
72,N/C,,,,,,
73,AC_OUT[10],19,,,,,
74,N/C,,,,,,
75,N/C,,,,,,
76,N/C,,,,,,
77,AC_OUT[9],20,,,,,
78,N/C,,,,,,
79,N/C,,,,,,
80,N/C,,,,,,
81,VDD0,21,,,,,
82,N/C,,,,,,
83,N/C,,,,,,
84,N/C,,,,,,
85,N/C,,,,,,
86,VSS0,22,,,,,
87,N/C,,,,,,
88,N/C,,,,,,
89,N/C,,,,,,
90,AC_OUT[8],23,,,,,
91,N/C,,,,,,
92,N/C,,,,,,
93,N/C,,,,,,
94,AC_OUT[7],24,,,,,
95,N/C,,,,,,
96,N/C,,,,,,
97,N/C,,,,,,
98,N/C,,,,,,
99,AC_OUT[6],25,,,,,
100,N/C,,,,,,
101,N/C,,,,,,
102,N/C,,,,,,
103,AC_OUT[5],26,,,,,
104,N/C,,,,,,
105,N/C,,,,,,
106,N/C,,,,,,
107,AC_OUT[4],27,,,,,
108,N/C,,,,,,
109,N/C,,,,,,
110,N/C,,,,,,
111,AC_OUT[3],28,,,,,
112,N/C,,,,,,
113,N/C,,,,,,
114,N/C,,,,,,
115,N/C,,,,,,
116,AC_OUT[2],29,,,,,
117,N/C,,,,,,
118,N/C,,,,,,
119,N/C,,,,,,
120,AC_OUT[1],30,,,,,
121,N/C,,,,,,
122,N/C,,,,,,
123,N/C,,,,,,
124,VSS,31,,,,,
125,N/C,,,,,,
126,N/C,,,,,,
127,N/C,,,,,,
128,N/C,,,,,,
129,VDD,32,,,,,
130,N/C,,,,,,
131,N/C,,,,,,
132,N/C,,,,,,
133,AC_OUT[0],33,,,,,
134,N/C,,,,,,
135,N/C,,,,,,
136,N/C,,,,,,
137,AC_LD,34,,,,,
138,N/C,,,,,,
139,N/C,,,,,,
140,N/C,,,,,,
141,N/C,,,,,,
142,AC_CLK,35,,,,,
143,N/C,,,,,,
144,N/C,,,,,,
145,N/C,,,,,,
146,AC_RST,36,,,,,
147,N/C,,,,,,
148,N/C,,,,,,
149,N/C,,,,,,
150,,37,,,,,
151,N/C,,,,,,
152,N/C,,,,,,
153,N/C,,,,,,
154,N/C,,,,,,
155,,38,,,,,
156,N/C,,,,,,
157,N/C,,,,,,
158,N/C,,,,,,
159,,39,,,,,
160,N/C,,,,,,
161,N/C,,,,,,
162,N/C,,,,,,
163,,40,,,,,
164,N/C,,,,,,
165,N/C,,,,,,
166,N/C,,,,,,
167,N/C,,,,,,
168,VSS0,41,,,,,
169,N/C,,,,,,
170,N/C,,,,,,
171,N/C,,,,,,
172,VDD0,42,,,,,
173,N/C,,,,,,
174,N/C,,,,,,
175,N/C,,,,,,
176,,43,,,,,
177,N/C,,,,,,
178,N/C,,,,,,
179,N/C,,,,,,
180,N/C,,,,,,
181,,44,,,,,
182,N/C,,,,,,
183,N/C,,,,,,
184,N/C,,,,,,
185,,45,,,,,
186,N/C,,,,,,
187,N/C,,,,,,
188,N/C,,,,,,
189,,46,,,,,
190,N/C,,,,,,
191,N/C,,,,,,
192,N/C,,,,,,
193,N/C,,,,,,
194,,47,,,,,
195,N/C,,,,,,
196,N/C,,,,,,
197,N/C,,,,,,
198,,48,,,,,
199,N/C,,,,,,
200,N/C,,,,,,
201,N/C,,,,,,
202,,49,,,,,
203,N/C,,,,,,
204,N/C,,,,,,
205,,50,,,,,
206,N/C,,,,,,
207,VSS,51,,,,,
208,N/C,,,,,,
209,VDD,52,,,,,
210,VDD0,53,,,,,
211,N/C,,,,,,
212,VSS0,54,,,,,
213,N/C,,,,,,
214,,55,,,,,
215,N/C,,,,,,
216,N/C,,,,,,
